class,instances,images,precision,recall,f1,mAP50,mAP50_95,false_positives_vs_background,missed_detections,expected_weak
Trash Bins,396,253,0.7693,0.8506,0.8079,0.8837,0.635,118,47,False
Animals,771,632,0.8542,0.8433,0.8487,0.8786,0.6807,130,104,False
Tricycle,494,362,0.8271,0.7834,0.8047,0.8421,0.6609,85,87,False
Motorcycle,1827,939,0.7878,0.7642,0.7758,0.814,0.5673,474,355,False
Vehicle,2325,1161,0.7721,0.7401,0.7557,0.8026,0.6294,596,509,False
Doors,328,289,0.6246,0.7592,0.6853,0.769,0.5604,184,61,False
Bicycle,1049,543,0.7765,0.6749,0.7222,0.7265,0.4756,259,292,False
Bench,1085,552,0.7502,0.6756,0.711,0.7259,0.4438,282,308,False
Person,4041,1279,0.7374,0.6568,0.6947,0.7177,0.4638,1242,1230,False
Potholes,845,355,0.6957,0.6438,0.6687,0.6849,0.3913,359,249,True
Stairs,523,442,0.6976,0.6061,0.6486,0.6421,0.4164,170,171,False
Tables,1338,726,0.6467,0.506,0.5677,0.5496,0.3394,462,541,False
Chairs,2168,593,0.5776,0.393,0.4677,0.436,0.2605,800,1151,False
Pole,1396,368,0.6574,0.3052,0.4168,0.3795,0.1681,323,894,True
Shelf,1724,395,0.3706,0.1763,0.239,0.1904,0.1023,709,1318,False
